fecha,pais,superficie,idprovincia,municipio,causa,causa_supuesta,time_ctrl,time_ext,personal,medios,tipo,predicted_cluster
2004-07-10,spain,2.0,Toledo,VILLATOBAS,accidente,1.0,55,274,42,11,incendio,0
2005-05-07,spain,1.3,Navarra,CÁSEDA,desconocido,0.0,21,60,3,1,incendio,1
2006-08-04,spain,1.6,Zamora,VILLANUEVA DE AZOAGUE,accidente,1.0,75,95,3,0,incendio,1
2004-08-31,spain,4.5,Guadalajara,GUADALAJARA,intencionado,1.0,98,650,23,1,incendio,1
2010-07-30,spain,1.09,Ciudad Real,HORCAJO DE LOS MONTES,intencionado,0.0,68,216,14,1,incendio,1
2012-03-27,spain,3.0,Asturias,CANGAS DE ONÍS,desconocido,0.0,146,236,5,0,incendio,1
2003-09-28,spain,6.0,Cáceres,NAVALMORAL DE LA MATA,desconocido,0.0,40,70,18,2,incendio,1
2006-02-05,spain,4.0,Zamora,S JUSTO,intencionado,1.0,125,185,3,0,incendio,1
2013-04-24,spain,1.21,Cantabria,REOCÍN,accidente,0.0,90,100,6,1,incendio,1
2012-02-10,spain,1.11,Zamora,PEDRALBA DE LA PRADERIA,intencionado,0.0,145,215,9,1,incendio,1
2004-09-29,spain,6.0,Zamora,RÁBANO DE ALISTE,intencionado,0.0,210,1410,59,5,incendio,1
2006-04-02,spain,20.0,Asturias,BELMONTE DE MIRANDA,intencionado,0.0,652,667,30,4,incendio,1
2010-08-08,spain,1.05,Pontevedra,CATOIRA,intencionado,1.0,104,260,25,4,incendio,1
2003-09-16,spain,10.0,Ourense,AMOEIRO,intencionado,1.0,210,380,30,5,incendio,1
2003-08-23,spain,12.25,Zamora,VILLALCAMPO,intencionado,1.0,315,495,20,1,incendio,1
2006-05-14,spain,1.74,Albacete,ALBACETE,accidente,0.0,230,1515,39,5,incendio,1
2008-09-13,spain,17.0,Badajoz,GUAREÑA,intencionado,1.0,150,180,11,3,incendio,1
2014-11-01,spain,3.0,Asturias,ALLER,intencionado,0.0,102,103,1,0,incendio,1
2015-09-06,spain,70.55,Cáceres,MADROÑERA,accidente,1.0,218,353,45,6,incendio,1
2005-06-06,spain,1.0,Navarra,PUEYO,desconocido,0.0,85,229,5,2,conato,1
2014-03-14,spain,3.6,Asturias,LLANERA,intencionado,1.0,125,142,2,1,incendio,1
2011-03-27,spain,3.26,Burgos,CEREZO DE RIO TIRON,accidente,0.0,121,139,10,0,incendio,1
2002-07-05,spain,4.0,Córdoba,SANTA EUFEMIA,accidente,0.0,0,555,39,11,incendio,0
2005-03-16,spain,2.0,Asturias,PROAZA,desconocido,0.0,0,136,5,1,incendio,1
2001-09-17,spain,7.2,"Coruña, A",SANTIAGO DE COMPOSTELA,intencionado,1.0,175,335,37,6,incendio,1
2004-12-27,spain,1.0,Cáceres,GATA,intencionado,1.0,90,120,2,1,conato,1
2010-02-27,spain,10.0,Cantabria,RUESGA,desconocido,0.0,270,270,1,0,incendio,1
2012-03-08,spain,1.5,Asturias,TINEO,intencionado,0.0,129,158,4,1,incendio,1
2011-07-01,spain,1.0,Pontevedra,LALÍN,intencionado,1.0,101,251,27,6,conato,1
2009-01-16,spain,9.25,Cantabria,VILLACARRIEDO,intencionado,1.0,180,315,16,1,incendio,1
2013-12-06,spain,8.5,Lugo,"NOGAIS, AS",intencionado,1.0,446,496,13,2,incendio,1
2014-02-19,spain,10.87,Almería,CARBONERAS,accidente,0.0,213,2640,47,4,incendio,1
2009-08-15,spain,2.3,"Coruña, A",ARANGA,intencionado,1.0,179,298,16,3,incendio,1
2002-07-14,spain,2.0,León,VILLAFRANCA DEL BIERZO,accidente,1.0,47,390,18,1,incendio,1
2010-09-13,spain,1.2,Pontevedra,TUI,intencionado,1.0,81,197,12,2,incendio,1
2004-06-28,spain,1.2,Cáceres,CÁCERES,intencionado,1.0,44,74,22,4,incendio,1
2002-07-22,spain,8.0,Cáceres,PINOFRANQUEADO,intencionado,1.0,240,360,34,4,incendio,1
2003-08-02,spain,5.2,León,POLA DE GORDON LA,rayo,0.0,210,225,18,1,incendio,1
2004-02-20,spain,3.0,Lugo,"INCIO, O",desconocido,0.0,105,190,16,2,incendio,1
2005-03-26,spain,1.5,Asturias,PILOÑA,desconocido,0.0,0,49,3,0,incendio,1
2003-09-14,spain,60.0,Zamora,LOSACINO,intencionado,1.0,420,760,29,5,incendio,1
2014-08-23,spain,1.82,Zamora,BURGANES DE VALVERDE,intencionado,0.0,115,205,26,4,incendio,1
2004-07-28,spain,1.5,Asturias,SALAS,desconocido,0.0,92,149,4,2,incendio,1
2011-04-07,spain,13.14,Asturias,ONÍS,intencionado,0.0,222,242,5,0,incendio,1
2010-10-03,spain,2.6,Cantabria,CASTRO-URDIALES,intencionado,1.0,270,390,13,1,incendio,1
2003-01-29,spain,2.0,Zamora,S VITERO,intencionado,1.0,90,120,6,1,incendio,1
2005-08-22,spain,2.5,"Coruña, A",RIBEIRA,intencionado,1.0,135,225,16,2,incendio,1
2009-02-16,spain,4.5,León,LEON,intencionado,1.0,55,55,4,1,incendio,1
2002-03-26,spain,12.0,Ourense,CASTRO CALDELAS,intencionado,1.0,275,280,10,2,incendio,1
2004-09-17,spain,2.5,Toledo,SANTA ANA DE PUSA,intencionado,1.0,41,51,21,4,incendio,1
2002-08-18,spain,1.1,Lugo,PANTÓN,intencionado,1.0,65,160,11,2,incendio,1
2001-08-15,spain,10.0,Cáceres,TRUJILLO,desconocido,0.0,60,210,21,2,incendio,1
2014-09-13,spain,2.2,Guadalajara,VALDEPEÑAS DE LA SIERRA,accidente,1.0,52,163,28,4,incendio,1
2009-09-29,spain,2.0,Pontevedra,DOZÓN,intencionado,1.0,172,217,6,1,incendio,1
2009-03-15,spain,3.5,Zaragoza,CARENAS,intencionado,0.0,95,230,14,2,incendio,1
2003-09-13,spain,4.2,Burgos,MERINDAD DE VALDEPORRES,desconocido,0.0,240,300,18,3,incendio,1
